Year,CAT001A,CAT002B,CAT006B,CAT013A,CAT015B,CAT018B,CAT019A,CMM001A,CMM002A,CMM003B,CMM004B,CMM006B,CMM009B,CMM010B,CMM014B,CMM015A,CMM021B,CMM022B,CMM023B,CMM024A,CMM025A,CMM026B,CMM028A,CMM029A,CMM029B,CMM031B,CMM041B,CMM042A,CMM042B,CMM053B,CMM056A,CMM059A,CMM059B,CMM067B,CMM068A,CMM072A,CMM086A,CMM086B,CMM110A,CMM112A,CMM117A,CMM118A,CMM121A,CMM133A,CMM134A
1634,,1.375919165,1.073496398,1.265149044,1.435762942,0.893040368,,,,1.168705355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.312115739,,1.182877591,1.030811916,,1.025611716,
1635,,1.791268509,1.093758064,1.00232712,1.25092485,0.919086783,,,,1.091332124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67931558,,1.469749972,1.112347293,,1.093172069,
1636,,1.661032695,1.258753342,0.908728374,1.583681608,1.136259685,,,,1.437781656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.578172762,,1.034858633,0.945676873,,1.994286095,
1637,,1.298476952,1.547049578,1.045152833,1.248411167,0.970585959,,,,1.488912041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92757577,,0.683136941,1.082489126,,0.768137902,
1638,,0.8510351,0.478056877,0.731547317,0.562170749,0.468591151,,,,0.442469172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.320431552,,1.002586843,0.717805947,,0.643239366,
1639,,0.780050638,0.688652472,0.438966225,0.905841957,0.417890084,,,,1.091506945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.221284258,,0.935135855,0.971510286,,0.970277736,
1640,,0.853103945,0.735508129,0.613299831,1.224123185,0.499535771,,,,1.083663993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.050163829,,1.363538764,1.137488555,,0.909361164,
1641,,0.779193119,0.39193033,0.727811324,0.773357731,0.833193598,0.951001337,,,0.818441983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.740763615,,0.838721239,0.907808957,,0.493382413,
1642,,0.879612637,0.313694454,1.171274685,0.846818035,1.037390177,1.101560591,,,0.78214339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.329140956,,0.559292209,0.655498254,,0.795236724,
1643,,0.708025545,0.645151173,1.276827383,1.066142243,1.128823899,1.087580046,,,1.031281561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.123487464,,0.829777244,0.926709056,,0.960468684,
1644,,1.125716185,0.894213949,1.572728296,1.224257191,1.21237052,1.444201183,,,1.33247349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.570790714,,0.961732922,1.05243575,,1.442085909,
1645,,1.048976934,0.925336296,0.844418067,0.458306818,0.785684961,0.675635929,,,0.536554239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.336155707,,0.808108839,0.562698358,,0.42920836,
1646,,1.008620129,1.291486456,1.024781633,1.259238439,1.172900445,1.477180372,,,1.357439235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.213727741,,1.21830203,1.199074721,,1.268353483,
1647,,1.086330872,0.785874308,0.745887,1.495253544,1.346557329,0.919471027,,,1.420559788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.252710208,,1.294906452,0.609163374,,1.22110699,
