"PlotID","Site","Year","Release.Minor","Release.Major","n.Minor","n.Major","n.Plot","p.Minor","p.Major","time.Minor","time.Major","peak.Minor.mag","peak.Major.mag","peak.Minor.ext","peak.Major.ext"
"VUF1","VUF",1911,0,0,0,0,0,0,0,68,68,0,0,0,0
"VLF0","VLF",1912,0,0,0,0,0,0,0,69,69,0,0,0,0
"VLF1","VLF",1912,0,0,0,0,0,0,0,69,69,0,0,0,0
"VUF0","VUF",1912,0,0,0,0,0,0,0,69,69,0,0,0,0
"VUF1","VUF",1912,0,0,0,0,0,0,0,69,69,0,0,0,0
"VLF0","VLF",1913,0,0,0,0,0,0,0,70,70,0,0,0,0
"VLF1","VLF",1913,0,0,0,0,0,0,0,70,70,0,0,0,0
"VUF0","VUF",1913,0,0,0,0,0,0,0,70,70,0,0,0,0
"VUF1","VUF",1913,0,0,0,0,0,0,0,70,70,0,0,0,0
"VLF0","VLF",1914,0,0,0,0,0,0,0,71,71,0,0,0,0
"VLF1","VLF",1914,0,0,0,0,0,0,0,71,71,0,0,0,0
"VUF0","VUF",1914,0,0,0,0,0,0,0,71,71,0,0,0,0
"VUF1","VUF",1914,0,0,0,0,0,0,0,71,71,0,0,0,0
"VLF0","VLF",1915,0,0,0,0,0,0,0,72,72,0,0,0,0
"VLF1","VLF",1915,0,0,0,0,0,0,0,72,72,0,0,0,0
"VUF0","VUF",1915,0,0,0,0,0,0,0,72,72,0,0,0,0
"VUF1","VUF",1915,0,0,0,0,0,0,0,72,72,0,0,0,0
"VLF0","VLF",1916,0,0,0,0,0,0,0,73,73,0,0,0,0
"VLF1","VLF",1916,0,0,0,0,0,0,0,73,73,0,0,0,0
"VUF0","VUF",1916,0,0,0,0,0,0,0,73,73,0,0,0,0
"VUF1","VUF",1916,0,0,0,0,0,0,0,73,73,0,0,0,0
"VLF0","VLF",1917,0,0,0,0,0,0,0,74,74,0,0,0,0
"VLF1","VLF",1917,0,0,0,0,0,0,0,74,74,0,0,0,0
"VUF0","VUF",1917,0,0,0,0,0,0,0,74,74,0,0,0,0
"VUF1","VUF",1917,0,0,0,0,0,0,0,74,74,0,0,0,0
"VLF0","VLF",1918,0,0,0,0,0,0,0,75,75,0,0,0,0
"VLF1","VLF",1918,0,0,0,0,0,0,0,75,75,0,0,0,0
"VUF0","VUF",1918,0,0,0,0,0,0,0,75,75,0,0,0,0
"VUF1","VUF",1918,0,0,0,0,1,0,0,75,75,0,0,0,0
"VLF0","VLF",1919,0,0,0,0,0,0,0,76,76,0,0,0,0
"VLF1","VLF",1919,0,0,0,0,0,0,0,76,76,0,0,0,0
"VUF0","VUF",1919,0,0,0,0,2,0,0,76,76,0,0,0,0
"VUF1","VUF",1919,0,0,0,0,2,0,0,76,76,0,0,0,0
"VLF0","VLF",1920,0,0,0,0,0,0,0,77,77,0,0,0,0
"VLF1","VLF",1920,0,0,0,0,0,0,0,77,77,0,0,0,0
"VUF0","VUF",1920,0,0,0,0,4,0,0,77,77,0,0,0,0
"VUF1","VUF",1920,0,0,0,0,4,0,0,77,77,0,0,0,0
"VLF0","VLF",1921,0,0,0,0,0,0,0,78,78,0,0,0,0
"VLF1","VLF",1921,0,0,0,0,0,0,0,78,78,0,0,0,0
"VUF0","VUF",1921,0,0,0,0,6,0,0,78,78,0,0,0,0
"VUF1","VUF",1921,0,0,0,0,6,0,0,78,78,0,0,0,0
"VLF0","VLF",1922,0,0,0,0,0,0,0,79,79,0,0,0,0
"VLF1","VLF",1922,0,0,0,0,0,0,0,79,79,0,0,0,0
"VUF0","VUF",1922,0,0,0,0,8,0,0,79,79,0,0,0,0
"VUF1","VUF",1922,0,0,0,0,8,0,0,79,79,0,0,0,0
"VLF0","VLF",1923,0,0,0,0,0,0,0,80,80,0,0,0,0
"VLF1","VLF",1923,0,0,0,0,0,0,0,80,80,0,0,0,0
"VUF0","VUF",1923,0,0,0,0,10,0,0,80,80,0,0,0,0
"VUF1","VUF",1923,0,0,0,0,10,0,0,80,80,0,0,0,0
"VLF0","VLF",1924,0,0,0,0,0,0,0,81,81,0,0,0,0
"VLF1","VLF",1924,0,0,0,0,1,0,0,81,81,0,0,0,0
"VUF0","VUF",1924,0,0,0,0,12,0,0,81,81,0,0,0,0
"VUF1","VUF",1924,0,0,0,0,12,0,0,81,81,0,0,0,0
"VLF0","VLF",1925,0,0,0,0,0,0,0,82,82,0,0,0,0
"VLF1","VLF",1925,0,0,0,0,2,0,0,82,82,0,0,0,0
"VUF0","VUF",1925,0,0,0,0,15,0,0,82,82,0,0,0,0
"VUF1","VUF",1925,0,0,0,0,14,0,0,82,82,0,0,0,0
"VLF0","VLF",1926,0,0,0,0,0,0,0,83,83,0,0,0,0
"VLF1","VLF",1926,0,0,0,0,3,0,0,83,83,0,0,0,0
"VUF0","VUF",1926,0,0,0,0,20,0,0,83,83,0,0,0,0
"VUF1","VUF",1926,0,0,0,0,16,0,0,83,83,0,0,0,0
"VLF0","VLF",1927,0,0,0,0,0,0,0,84,84,0,0,0,0
"VLF1","VLF",1927,0,0,0,0,4,0,0,84,84,0,0,0,0
"VUF0","VUF",1927,0,0,0,0,26,0,0,84,84,0,0,0,0
"VUF1","VUF",1927,0,0,0,0,19,0,0,84,84,0,0,0,0
"VLF0","VLF",1928,0,0,0,0,0,0,0,85,85,0,0,0,0
"VLF1","VLF",1928,0,0,0,0,5,0,0,85,85,0,0,0,0
"VUF0","VUF",1928,0,0,0,0,34,0,0,85,85,0,0,0,0
"VUF1","VUF",1928,0,0,0,0,25,0,0,85,85,0,0,0,0
"VLF0","VLF",1929,0,0,0,0,0,0,0,86,86,0,0,0,0
"VLF1","VLF",1929,0,0,0,0,7,0,0,86,86,0,0,0,0
"VUF0","VUF",1929,0,0,0,0,44,0,0,86,86,0,0,0,0
"VUF1","VUF",1929,0,0,0,0,34,0,0,86,86,0,0,0,0
