"","series","first","last","year","mean","median","stdev","skew","sens1","sens2","gini","ar1"
"577","HOW3066S",1849,2013,165,0.688,0.715,0.395,0.316,0.248,0.199,0.326,0.881
"578","HOW3067S",1903,2013,111,0.976,0.762,0.614,1.35,0.216,0.187,0.319,0.918
"579","HOW3067N",1926,2013,88,0.582,0.435,0.432,1.924,0.228,0.225,0.359,0.901
"580","HOW3068N",1864,2013,150,0.774,0.69,0.488,1.375,0.254,0.227,0.332,0.872
"581","HOW3069N",1886,2011,126,0.383,0.296,0.285,1.11,0.36,0.293,0.399,0.864
"582","HOW3069S",1886,2010,125,0.377,0.265,0.327,1.436,0.337,0.242,0.445,0.916
"583","HOW3070N",1875,2012,138,0.222,0.177,0.182,2.744,0.354,0.348,0.368,0.737
"584","HOW3071N",1857,2013,157,1.315,1.194,0.775,0.95,0.192,0.159,0.317,0.925
"585","HOW3071S",1929,2013,85,1.914,1.844,0.737,0.587,0.17,0.165,0.214,0.847
"586","HOW3072S",1930,2013,84,1.263,1.186,0.533,0.272,0.197,0.177,0.239,0.858
"587","HOW3072N",1862,2013,152,0.66,0.608,0.356,0.974,0.212,0.192,0.294,0.871
"588","HOW3074S",1859,2007,149,0.415,0.315,0.303,0.73,0.309,0.285,0.405,0.833
"589","HOW3074N",1859,2008,150,0.286,0.24,0.179,1.083,0.402,0.28,0.334,0.804
"590","HOW3075W",1884,2013,130,0.449,0.382,0.257,0.983,0.215,0.205,0.31,0.879
"591","HOW3075E",1884,2013,130,0.361,0.3,0.199,1.521,0.212,0.203,0.279,0.871
"592","HOW3076E",1881,2013,133,1.266,1.223,0.372,0.539,0.182,0.178,0.165,0.677
"593","HOW3076W",1879,2013,135,1.027,0.936,0.46,0.827,0.212,0.192,0.246,0.828
"594","HOW3077N",1895,2013,119,0.869,0.885,0.444,0.312,0.215,0.167,0.289,0.902
"595","HOW3077S",1895,2013,119,0.827,0.685,0.489,0.732,0.213,0.16,0.326,0.924
"596","HOW3078N",1874,2013,140,1.018,0.942,0.498,0.793,0.252,0.251,0.27,0.72
"597","HOW3078S",1858,2013,156,0.758,0.714,0.357,0.289,0.245,0.222,0.266,0.793
"598","HOW3079E",1863,2012,150,0.609,0.496,0.43,0.514,0.285,0.21,0.397,0.907
"599","HOW3079W",1864,2009,146,0.602,0.498,0.468,0.872,0.345,0.234,0.427,0.908
"600","HOW3080E",1940,2013,74,1.618,1.492,0.527,0.714,0.223,0.221,0.178,0.617
"601","HOW3080W",1940,2013,74,1.275,1.024,0.653,1.607,0.225,0.228,0.258,0.785
"602","HOW3081W",1957,2012,56,1.426,1.193,0.668,0.886,0.207,0.195,0.254,0.826
"603","HOW3081E",1956,2012,57,1.55,1.269,0.66,0.7,0.176,0.157,0.232,0.862
"604","HOW3083S",1870,2012,143,1.396,1.265,0.593,0.871,0.194,0.173,0.231,0.867
"605","HOW3083N",1897,2013,117,1.232,1.132,0.637,0.318,0.175,0.152,0.294,0.915
"606","HOW3084N",1889,2013,125,1.552,1.522,0.628,0.63,0.211,0.198,0.218,0.776
"607","HOW3084S",1865,2013,149,1.287,1.202,0.724,0.705,0.248,0.202,0.313,0.877
"608","HOW3086S",1944,2013,70,0.802,0.746,0.5,0.461,0.23,0.215,0.35,0.876
"609","HOW3086N",1944,2013,70,0.7,0.606,0.357,0.381,0.251,0.251,0.288,0.757
"610","HOW3087W",1957,2012,56,1.426,1.193,0.668,0.886,0.207,0.195,0.254,0.826
"611","HOW3087E",1956,2012,57,1.55,1.269,0.66,0.7,0.176,0.157,0.232,0.862
"612","HOW1040E",1929,2013,85,0.736,0.619,0.31,1.356,0.157,0.158,0.214,0.85
"613","HOW1040W",1929,2013,85,0.736,0.629,0.31,1.39,0.16,0.158,0.212,0.864
"614","HOW1041E",1932,2013,82,0.698,0.68,0.276,0.81,0.146,0.15,0.215,0.84
"615","HOW1041W",1932,2013,82,0.463,0.388,0.317,1.011,0.242,0.21,0.363,0.875
"616","HOW1050N",1869,2009,141,0.667,0.582,0.364,1.06,0.155,0.153,0.294,0.895
"617","HOW1051E",1891,2013,123,0.577,0.541,0.228,0.584,0.128,0.129,0.221,0.896
"618","HOW1051W",1876,2013,138,0.649,0.604,0.257,1.03,0.138,0.142,0.214,0.86
"619","HOW1052N",1875,2013,139,0.716,0.676,0.23,0.951,0.165,0.161,0.174,0.726
"620","HOW1052S",1875,2013,139,0.681,0.623,0.239,0.749,0.173,0.16,0.194,0.81
"621","HOW1053E",1863,2013,151,0.699,0.604,0.417,0.848,0.219,0.224,0.329,0.804
"622","HOW1053W",1864,2013,150,0.767,0.585,0.453,0.672,0.181,0.169,0.328,0.912
"623","HOW1065W",1880,2013,134,0.875,0.828,0.24,0.96,0.156,0.155,0.149,0.686
"624","HOW1065E",1884,2013,130,0.696,0.686,0.194,0.133,0.158,0.156,0.158,0.701
"625","HOW1089N",1900,2013,114,0.96,0.764,0.595,1.215,0.19,0.187,0.326,0.9
"626","HOW1089S",1927,2013,87,0.863,0.752,0.515,0.507,0.199,0.16,0.336,0.893
"627","HOW1092W",1946,2009,64,0.454,0.43,0.235,0.355,0.292,0.231,0.289,0.749
"628","HOW1092E",1937,2011,75,0.575,0.459,0.406,1.174,0.278,0.242,0.371,0.845
"629","HOW1098W",1868,1996,129,0.772,0.854,0.558,0.063,0.307,0.193,0.41,0.93
"630","HOW1098E",1868,2007,140,0.675,0.716,0.461,0.13,0.269,0.188,0.388,0.921
"631","HOW1099S",1872,2013,142,0.805,0.571,0.547,0.672,0.228,0.183,0.376,0.926
"632","HOW1099N",1872,2013,142,0.776,0.605,0.505,0.899,0.229,0.204,0.354,0.904
"633","HOW1121N",1920,2013,94,0.548,0.478,0.31,0.993,0.298,0.271,0.306,0.653
"634","HOW1121S",1906,2013,108,0.495,0.399,0.31,1.212,0.309,0.275,0.332,0.772
"635","HOW2003W",1931,2004,74,1.238,1.194,0.44,0.687,0.166,0.167,0.196,0.795
"636","HOW2015E",1939,2013,75,0.55,0.488,0.395,1.589,0.237,0.211,0.362,0.849
"637","HOW2015W",1960,2013,54,0.256,0.229,0.136,0.699,0.33,0.297,0.295,0.728
"638","HOW2021S",1908,2013,106,0.699,0.67,0.306,0.515,0.248,0.23,0.243,0.722
"639","HOW2045S",1944,2013,70,0.765,0.726,0.309,1.617,0.202,0.185,0.195,0.78
"640","HOW2045N",1958,2013,56,1.035,0.964,0.311,1.729,0.135,0.134,0.149,0.646
"641","HOW2050E",1947,2013,67,0.598,0.578,0.281,1.404,0.205,0.203,0.235,0.785
"642","HOW2050W",1956,2013,58,0.745,0.684,0.277,0.915,0.195,0.191,0.201,0.729
"643","HOW2055N",1930,2013,84,0.719,0.675,0.357,0.866,0.24,0.204,0.271,0.854
"644","HOW2052N",1917,2013,97,0.489,0.448,0.2,0.107,0.199,0.169,0.229,0.842
"645","HOW2058E",1953,2013,61,0.363,0.357,0.119,0.275,0.237,0.224,0.185,0.611
"646","HOW2058S",1960,2013,54,0.568,0.544,0.159,0.597,0.186,0.186,0.153,0.596
"647","HOW2071E",1916,2013,98,0.824,0.704,0.444,0.797,0.172,0.163,0.297,0.909
"648","HOW2071W",1902,2013,112,0.788,0.722,0.34,0.599,0.181,0.164,0.24,0.838
"649","HOW2078E",1913,2013,101,1.13,0.948,0.575,0.827,0.216,0.189,0.277,0.867
"650","HOW2078W",1913,2013,101,1.398,1.302,0.565,0.691,0.194,0.166,0.22,0.827
"651","HOW2084W",1923,2012,90,0.569,0.571,0.19,0.301,0.207,0.195,0.187,0.701
"652","HOW2084E",1885,2013,129,0.537,0.481,0.325,1.131,0.233,0.226,0.323,0.866
"653","HOW2087W",1944,2013,70,0.441,0.374,0.266,0.259,0.251,0.167,0.343,0.928
"654","HOW2087E",1919,2013,95,0.733,0.549,0.526,0.704,0.193,0.161,0.394,0.921
"655","HOW2101W",1898,2013,116,0.867,0.794,0.385,0.72,0.193,0.181,0.246,0.847
"656","HOW2101E",1895,2013,119,0.863,0.756,0.448,0.624,0.218,0.197,0.29,0.867
"657","HOW2126W",1950,2009,60,0.98,0.978,0.304,0.348,0.167,0.168,0.173,0.707
"658","HOW1077N",1934,2013,80,2.052,2.111,0.846,-0.466,0.173,0.146,0.223,0.861
"659","HOW1077S",1934,2013,80,2.506,2.535,1,-0.567,0.195,0.176,0.218,0.831
"660","HOW1078E",1946,2013,68,1.791,1.852,1.01,-0.231,0.267,0.156,0.319,0.913
"661","HOW1078W",1935,2013,79,2.391,2.335,1.158,-0.144,0.21,0.155,0.27,0.905
"662","HOW1106S",1931,2013,83,2.815,2.66,1.315,0.623,0.198,0.176,0.252,0.813
"663","HOW1106N",1934,2013,80,2.575,2.482,1.263,0.835,0.215,0.182,0.261,0.865
"664","HOW1112E",1930,2013,84,2.515,2.375,0.867,0.931,0.152,0.154,0.187,0.793
"665","HOW1112W",1931,2013,83,2.12,2.04,0.678,0.863,0.16,0.163,0.174,0.721
"666","HOW1124E",1929,2013,85,2.601,2.628,0.931,0.083,0.148,0.149,0.2,0.838
"667","HOW1124W",1934,2013,80,2.295,2.309,0.693,0.035,0.164,0.15,0.171,0.754
"668","HOW1128E",1930,2014,85,1.005,0.751,0.616,1.144,0.168,0.162,0.32,0.924
"669","HOW1128W",1930,2014,85,1.239,0.853,0.789,0.699,0.188,0.188,0.348,0.896
