year,poct,pnov,pdec,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,mam,mjj
1971,-1.8,-5.599999,-9.2,-11.9,-10,-7.3,-3.3,1.4,6.9,10.9,9.8,4.599999,-0.9999999,-6,-12.4,-3.066666667,6.4
1972,-0.9999999,-6,-12.4,-11.3,-9,-4.599999,-2.2,2.2,7.4,10.3,9.4,6.5,2.5,-8.4,-11.7,-1.533333,6.633333333
1973,2.5,-8.4,-11.7,-13.7,-11.4,-6,-4.9,1.8,5.8,10.9,9.9,4.4,-1.9,-6.5,-12.2,-3.033333333,6.166666667
1974,-1.9,-6.5,-12.2,-12.7,-13.2,-4.4,-2.9,3.8,9,10,8.3,4.4,2.1,-6.5,-13.2,-1.166666667,7.6
1975,2.1,-6.5,-13.2,-14.1,-11.3,-7.199999,-4.7,1.1,6.099999,10.7,9,4.5,-0.9999999,-7.699999,-11.6,-3.599999667,5.966666333
1976,-0.9999999,-7.699999,-11.6,-14.4,-7.5,-7,-2.3,2.2,6.4,10.5,8.9,5.4,-2.2,-9.5,-13.6,-2.366666667,6.366666667
1977,-2.2,-9.5,-13.6,-14.4,-9.6,-8.5,-0.6000001,3.2,8.2,11.5,11,6.699999,0.1,-5.599999,-9.2,-1.9666667,7.633333333
1978,0.1,-5.599999,-9.2,-9.5,-9.3,-4.099999,-0.8000001,1.2,8,12.5,8.9,5.4,0.7,-3.6,-12.4,-1.233333033,7.233333333
1979,0.7,-3.6,-12.4,-13.6,-10.9,-5.5,-0.8000001,3.4,7.5,11.2,10,6.199999,1.2,-8.3,-10.1,-0.9666667,7.366666667
1980,1.2,-8.3,-10.1,-7.699999,-7,-6.599999,-3.9,2.6,8.5,12.2,10.4,6.4,-1.5,-6.199999,-7.6,-2.633333,7.766666667
1981,-1.5,-6.199999,-7.6,-9.9,-9.6,-5.4,0.1,3.4,8.8,12.3,10.2,6.199999,0.6,-5.3,-9.2,-0.633333333,8.166666667
1982,0.6,-5.3,-9.2,-10.5,-10.9,-5.5,-1.6,2.4,7.199999,11.3,11.3,6.8,-2,-5.4,-9.7,-1.566666667,6.966666333
1983,-2,-5.4,-9.7,-10.3,-8.4,-4.3,-4,1.8,6.5,11.8,12,7.3,1.2,-6.099999,-10.5,-2.166666667,6.7
1984,1.2,-6.099999,-10.5,-14.7,-12,-7.8,-3.7,4.8,7.099999,11.7,10.9,5.9,-0.8,-6.099999,-8.6,-2.233333333,7.866666333
1985,-0.8,-6.099999,-8.6,-10.6,-10.1,-4.7,-1,3.8,7.199999,10.4,9.8,4.099999,0.7,-5.3,-10.2,-0.633333333,7.133333
1986,0.7,-5.3,-10.2,-9.1,-6.9,-4.7,0.1,2.8,7.3,9.800001,10,4.8,-1.1,-5.699999,-9.6,-0.6,6.633333667
1987,-1.1,-5.699999,-9.6,-13.3,-8.7,-7.5,-2.7,3.2,6.9,9.7,9.6,4.2,0.6,-6,-11.6,-2.333333333,6.6
1988,0.6,-6,-11.6,-13.8,-9.6,-8,-2,2.6,8.9,11,11.3,4.3,0.8000001,-6.099999,-11.5,-2.466666667,7.5
1989,0.8000001,-6.099999,-11.5,-12.3,-9.4,-4.3,-0.4000001,4.1,8.1,11.4,9.3,5.3,-0.8,-7.099999,-11.9,-0.200000033,7.866666667
1990,-0.8,-7.099999,-11.9,-12.4,-9.3,-4.8,0.1,2.9,9,10.7,9,7,-1.1,-6.5,-13.4,-0.6,7.533333333
1991,-1.1,-6.5,-13.4,-12.8,-8.4,-6.099999,-3,2.6,7.099999,10.7,10.3,5.8,-0.5,-7.099999,-11.2,-2.166666333,6.799999667
1992,-0.5,-7.099999,-11.2,-14.3,-8.9,-5.599999,-0.2,4.4,6.4,10.1,9,5,0.4,-9.1,-12.6,-0.466666333,6.966666667
1993,0.4,-9.1,-12.6,-8.4,-7.3,-5.9,-1.8,3.4,7,11.1,10.4,4.7,-2,-8.4,-11.3,-1.433333333,7.166666667
1994,-2,-8.4,-11.3,-10.3,-9.2,-4.5,-0.1000001,4.5,9.699999,11.8,11.9,6,-0.2,-5.9,-7.6,-0.033333367,8.666666333
1995,-0.2,-5.9,-7.6,-7.599999,-4.9,-3.7,-2.3,3.7,7.699999,10.8,11.5,5.699999,-0.8999999,-4,-8.300001,-0.766666667,7.399999667
1996,-0.8999999,-4,-8.300001,-9.9,-6.3,-7,-2.1,6.3,8.6,12.3,10.6,5,-0.5,-5.4,-8.6,-0.933333333,9.066666667
1997,-0.5,-5.4,-8.6,-10.9,-8.1,-4.4,-2.9,4.599999,8.2,11,11.2,8.3,-0.3,-5.8,-11.8,-0.900000333,7.933333
1998,-0.3,-5.8,-11.8,-10.5,-8.3,-5.5,-2.6,3.7,7.3,11.9,11.1,8.8,1.6,-3.7,-8.4,-1.466666667,7.633333333
1999,1.6,-3.7,-8.4,-7.8,-7.9,-3.8,-2.1,3.5,7.4,11,9.7,6.099999,0.4,-3.9,-9.5,-0.8,7.3
2000,0.4,-3.9,-9.5,-7.8,-6.2,-4.8,0.4999999,6.3,9.5,11.7,11.9,7.3,1.6,-7.099999,-8.8,0.666666633,9.166666667
2001,1.6,-7.099999,-8.8,-10.9,-7.6,-4.2,0.1,6,9.4,12.7,10.8,8.1,2,-3,-9.5,0.633333333,9.366666667
2002,2,-3,-9.5,-9.699999,-9.5,-6.8,1.8,4.9,10.8,12.2,11.2,7.3,0.8000001,-4.599999,-8.300001,-0.033333333,9.3
2003,0.8000001,-4.599999,-8.300001,-7,-7.6,-4.4,0.1,5.7,8.8,14.5,12.4,7.199999,3.4,-4.2,-8.8,0.466666667,9.666666667
2004,3.4,-4.2,-8.8,-8.8,-9.3,-1.6,-1.4,5.599999,8.5,11.1,9.8,6.3,0.9,-4.5,-9.2,0.866666333,8.399999667
2005,0.9,-4.5,-9.2,-7.3,-6.099999,-5.3,-1,4.8,8,12.9,11,7.8,1.9,-4.4,-9.1,-0.5,8.566666667
2006,1.9,-4.4,-9.1,-8.9,-8.8,-4.4,1.2,6.7,10.5,11.7,9.9,4.4,0.5,-4.5,-9.8,1.166666667,9.633333333
2007,0.5,-4.5,-9.8,-12.2,-8.2,-3.7,-1.1,2.6,8.5,12.3,12.5,7.9,1.1,-4.2,-9.3,-0.733333333,7.8
2008,1.1,-4.2,-9.3,-11.7,-8.5,-5.4,-1.7,3.5,8.6,10.9,11.2,6.9,1.2,-4.2,-8.4,-1.2,7.666666667
2009,1.2,-4.2,-8.4,-9.3,-7.199999,-4.099999,-1.3,6.099999,7.8,12.6,10.8,6.199999,-0.2,-4.099999,-11.5,0.233333333,8.833333
