year,poct,pnov,pdec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,cool.pdsi,warm.pdsi
1915,2.476986,1.813129,1.986631,2.014718,2.253511,2.323471,3.544682,3.564573,3.11138,3.208231,2.686017,2.705657,2.076275,1.736909,1.626887,2.344732571,3.0551716
1916,2.076275,1.736909,1.626887,2.331197,1.991853,1.967576,2.414419,1.995794,1.47574,1.376333,1.465559,1.087204,1.845136,1.533195,1.348383,2.020730857,1.480126
1917,1.845136,1.533195,1.348383,1.289434,1.227699,1.023835,0.9586247,1.259357,-0.3868012,-0.7000902,-1.003619,-0.9521099,-1.897328,-2.512458,-3.372692,1.318043814,-0.35665266
1918,-1.897328,-2.512458,-3.372692,1.027897,1.362997,1.780318,1.498284,0.9368982,0.8460695,0.7859185,0.558867,0.6153057,0.8386128,0.9867101,1.220176,-0.301854571,0.74861178
1919,0.8386128,0.9867101,1.220176,0.914319,1.214611,1.890416,2.714003,2.782551,2.686528,3.000471,2.403089,2.57923,2.525546,2.505822,2.256088,1.396978271,2.6903738
1920,2.525546,2.505822,2.256088,1.979395,1.878534,1.707653,1.687321,1.921337,2.080583,-0.4201072,-0.3819098,-0.4232595,-6.15E-02,-0.2593246,-0.3144637,2.077194143,0.5553287
1921,-6.15E-02,-0.2593246,-0.3144637,-0.3803366,-0.5561038,-1.102413,-1.110479,0.6193659,3.860316,4.397325,4.222433,-0.4112868,-0.6632309,-0.9275952,-0.9160193,-0.540664631,2.53763062
1922,-0.6632309,-0.9275952,-0.9160193,-0.8059151,-0.63577,-0.5261165,-0.4471491,-0.5323784,-0.6255025,-0.9824054,-1.831789,-2.273633,-2.849713,-1.335613,-1.498932,-0.703113729,-1.24914166
1923,-2.849713,-1.335613,-1.498932,-2.108598,-1.498969,-1.054599,-0.6902875,-1.320533,-1.10063,-1.2339,1.751661,1.811031,2.255489,2.283981,2.33974,-1.576673071,-0.0184742
1924,2.255489,2.283981,2.33974,2.002526,1.650043,1.925458,1.785233,-0.1921546,-0.6226687,-0.5659319,-0.9733475,-1.704483,-1.908539,-2.157498,-0.7196282,2.034638571,-0.81171714
1925,-1.908539,-2.157498,-0.7196282,-0.7543025,-0.9207194,-1.290352,-2.108945,-1.910299,-5.05E-03,0.9323929,0.9339328,1.475791,1.565795,1.349333,1.101448,-1.408569157,0.28535286
1926,1.565795,1.349333,1.101448,0.9654014,0.5810226,0.8694317,1.363552,1.785435,-4.98E-02,-4.85E-02,-0.5137298,-0.4024686,-0.4681927,-0.6264861,0.8628687,1.113711957,0.154191294
1927,-0.4681927,-0.6264861,0.8628687,-0.7282872,0.9230158,1.323848,-0.2737824,-0.7377006,2.858233,2.714955,2.690098,3.273511,-0.3319907,-0.5774102,-0.5368999,0.144712014,2.15981928
1928,-0.3319907,-0.5774102,-0.5368999,-0.8493286,-0.6652012,-0.7984787,-0.8057303,-6.70E-03,-0.3633294,-0.6539434,-0.1043178,-1.230362,0.7752861,1.36711,1.146904,-0.652148514,-0.471730301
1929,0.7752861,1.36711,1.146904,0.979839,1.073277,1.095029,0.7473441,1.386324,0.7788307,1.356539,1.711883,2.211524,-6.81E-02,-3.79E-02,-0.368125,1.026398457,1.48902014
1930,-6.81E-02,-3.79E-02,-0.368125,-0.1885914,-0.4530453,-0.4349393,-0.6914057,-0.161367,-0.7291964,2.258134,-0.6878964,-0.7637726,-0.6091448,-0.4277467,-0.615271,-0.320292546,-0.01681968
1931,-0.6091448,-0.4277467,-0.615271,-0.7559161,0.1447959,0.1626561,0.5810515,0.4790311,0.2908054,0.2090297,6.90E-02,1.365336,1.264218,1.5715,1.43696,-0.217082157,0.482645192
1932,1.264218,1.5715,1.43696,1.444888,1.483648,1.507344,1.359354,1.385267,1.40027,1.224661,1.204587,2.58E-02,-2.10E-02,-0.3843829,0.2991123,1.438273143,1.048111622
1933,-2.10E-02,-0.3843829,0.2991123,0.2510819,0.5333092,-0.6037276,-0.7006932,-0.9869605,1.922687,-1.073437,-0.8376181,-0.7268052,-0.9013036,-0.890538,-1.024343,-0.089478603,-0.34042676
1934,-0.9013036,-0.890538,-1.024343,-1.778018,-1.925147,-2.954018,-3.268412,-2.765361,-3.127459,-4.093633,-3.637203,-3.043767,-3.550043,-2.852482,-2.686589,-1.820254229,-3.3334846
1935,-3.550043,-2.852482,-2.686589,-2.001623,-1.698282,-1.806954,-1.575219,2.734357,-0.3279414,-0.7029194,0.4044114,0.7280046,-0.1954063,-0.1254118,-0.2645515,-2.310170286,0.56718244
1936,-0.1954063,-0.1254118,-0.2645515,-0.2380838,-3.79E-02,-0.2310595,-0.5422192,-0.2594432,-0.7111444,-1.057794,0.2371328,1.613304,1.298156,0.9227082,0.8102823,-0.233522503,-0.03558896
1937,1.298156,0.9227082,0.8102823,0.6890768,1.056456,1.346061,1.010121,1.430348,1.733255,-0.3033603,-0.7141463,-0.5125936,-0.5923858,-0.8397049,-1.022178,1.018980186,0.32670056
1938,-0.5923858,-0.8397049,-1.022178,-0.954877,0.5277557,0.9852788,-0.3179678,-0.6620561,1.756023,1.40307,0.7272545,1.596579,1.478181,1.282949,1.050589,-0.316297,0.96417408
1939,1.478181,1.282949,1.050589,1.293587,1.465547,1.47289,2.89E-02,-0.2741101,-0.5779871,-0.9665604,-1.628516,0.7607993,-0.3500667,-0.8277966,-1.364421,1.15324096,-0.53727486
1940,-0.3500667,-0.8277966,-1.364421,0.4301803,1.577825,1.420875,1.193046,1.4396,-0.2131591,-0.6442336,-0.699503,0.7409686,6.42E-03,1.163882,1.354043,0.297091714,0.12473458
1941,6.42E-03,1.163882,1.354043,1.520108,1.569651,2.363548,3.31739,4.458998,4.891742,4.509949,4.118594,5.384237,6.006676,5.378591,4.77635,1.613578138,4.672704
1942,6.006676,5.378591,4.77635,4.105762,3.776718,3.387808,4.640302,-0.3709837,-0.4542355,-0.8526548,-0.6568761,-0.1748444,-8.75E-02,-0.4641355,-0.2854277,4.581743857,-0.5019189
1943,-8.75E-02,-0.4641355,-0.2854277,-0.2389908,-0.348806,-0.3740028,-0.7839966,0.2843629,0.770537,-1.110476,0.5476308,-0.9175674,-1.071387,-1.267398,0.6055974,-0.368983606,-0.08510254
1944,-1.071387,-1.267398,0.6055974,1.117045,1.103797,1.18531,1.597606,3.17E-02,-0.1890796,-0.2886528,-0.5530135,-0.8288795,0.122411,0.4507124,0.5329515,0.467224343,-0.36557641
1945,0.122411,0.4507124,0.5329515,0.4589545,-0.3903934,-0.4472965,0.584722,-1.202353,-1.784148,-2.151573,-1.628118,-1.829793,-1.884164,-2.350913,-1.950794,0.187437357,-1.719197
1946,-1.884164,-2.350913,-1.950794,-1.369176,-1.500163,-1.433814,-1.775876,-1.880283,-2.831965,-2.395275,1.069513,0.7766097,1.441164,1.555707,-0.3239583,-1.752128571,-1.05228006
1947,1.441164,1.555707,-0.3239583,-0.3502851,-0.5247018,-0.7285675,-1.071129,0.9973716,-3.88E-02,-1.46803,1.011915,0.6732012,0.6530389,0.6405535,0.7740176,-0.000252957,0.235138534
1948,0.6530389,0.6405535,0.7740176,0.6789969,1.430421,1.837952,1.612906,2.130299,2.61918,-0.4515291,-0.6008126,-0.8230674,-0.6003817,-0.8121839,-0.8625504,1.089697986,0.57481398
1949,-0.6003817,-0.8121839,-0.8625504,1.403912,1.411986,1.316582,1.512832,1.659651,2.096646,2.509612,-0.2717031,0.2794914,-0.1886486,-0.5205593,-0.5706652,0.481456571,1.25473946
1950,-0.1886486,-0.5205593,-0.5706652,-0.5885423,-0.7279002,-1.647542,-2.19241,-3.295529,-2.070467,-0.7916117,-2.152028,-0.7088859,-1.83522,-2.404842,-3.037199,-0.9194668,-1.80370432
1951,-1.83522,-2.404842,-3.037199,-2.632395,-2.595541,-2.971939,-2.134635,-1.861993,-2.581574,-3.227045,-1.69314,-2.924962,-2.767794,2.20E-02,1.700803,-2.515967286,-2.4577428
1952,-2.767794,2.20E-02,1.700803,1.87293,1.698489,1.608231,1.942109,1.942593,1.692344,1.654526,-3.73E-02,-0.1988266,-0.6797243,0.8593053,-0.3454549,0.868114271,1.01067521
1953,-0.6797243,0.8593053,-0.3454549,-1.506004,-1.884259,-2.238044,-2.255489,-1.87852,-2.031066,-1.225872,-2.220841,-3.359251,-2.578004,-1.38898,-1.279536,-1.149952843,-2.14311
1954,-2.578004,-1.38898,-1.279536,-1.593013,-2.968083,-2.194056,-3.260943,-1.880265,-2.357742,-1.348908,-1.356721,-0.7971082,-1.090087,-1.883266,-2.242231,-2.180373571,-1.54814884
1955,-1.090087,-1.883266,-2.242231,-2.39213,-1.908352,-3.010541,-2.698634,1.680826,-0.4270173,7.69E-02,0.4717804,-0.2719579,-0.6963183,-1.430025,-1.570576,-2.175034429,0.306103242
1956,-0.6963183,-1.430025,-1.570576,-1.074728,-1.312284,-2.556839,-3.22885,-3.571568,-3.892044,-4.118112,-4.651112,-5.488263,-5.343316,-5.090833,-5.012033,-1.695660043,-4.3442198
1957,-5.343316,-5.090833,-5.012033,1.712919,1.445386,1.712935,2.51994,3.05819,2.596258,2.797378,3.163666,2.293715,3.059369,3.65212,3.161972,-1.150714571,2.7818414
