"Site.Name","Year","pJan","pFeb","pMar","pApr","pMay","pJun","pJul","pAug","pSep","pOct","pNov","pDec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Michigan AmerifluxTower","1961",-2.36519089464053,-2.33546378167293,-0.886624832722333,9.89873262447069,17.6499856834392,22.3071005492378,24.5193761411154,25.5429631776685,21.1084863564344,13.7321878178992,7.817296681968,-2.01560054334135,-4.68600688970364,-0.441783546640745,3.45123823874723,8.86202520135372,16.4968454092924,22.4307102375757,25.3672012541865,25.2173667367779,22.6040269247141,15.026212122007,6.3958137426541,-0.767645199994724
"Michigan AmerifluxTower","1962",-4.68600688970364,-0.441783546640745,3.45123823874723,8.86202520135372,16.4968454092924,22.4307102375757,25.3672012541865,25.2173667367779,22.6040269247141,15.026212122007,6.3958137426541,-0.767645199994724,-4.99949420538283,-5.87919999765746,2.95541975283729,9.54535622264696,20.6013195239422,23.1042451910389,25.2000780434671,25.0343973817525,19.1227330830489,14.1268142846668,5.93730470396492,-0.619252707054146
"Michigan AmerifluxTower","1963",-4.99949420538283,-5.87919999765746,2.95541975283729,9.54535622264696,20.6013195239422,23.1042451910389,25.2000780434671,25.0343973817525,19.1227330830489,14.1268142846668,5.93730470396492,-0.619252707054146,-7.99656064672076,-7.11418644692925,2.88765883256275,13.0925230523731,16.5145753570906,25.406317291192,27.2441671429658,23.3550995260127,19.7693104880475,20.177597082646,9.10640782258435,-3.13908769526756
"Michigan AmerifluxTower","1964",-7.99656064672076,-7.11418644692925,2.88765883256275,13.0925230523731,16.5145753570906,25.406317291192,27.2441671429658,23.3550995260127,19.7693104880475,20.177597082646,9.10640782258435,-3.13908769526756,-0.527235546382928,-0.73341109091696,2.27588095574676,11.5244539108196,21.1912556572207,23.869389002305,27.2178687019822,22.8079408327244,19.7784703170466,13.4293025669538,8.93001685084119,-2.09138967064941
"Michigan AmerifluxTower","1965",-0.527235546382928,-0.73341109091696,2.27588095574676,11.5244539108196,21.1912556572207,23.869389002305,27.2178687019822,22.8079408327244,19.7784703170466,13.4293025669538,8.93001685084119,-2.09138967064941,-4.00246330593946,-3.34101208049086,0.321265708170905,8.27132004918338,21.1325893852379,23.0028114316918,23.9535215478238,23.312187214061,18.7855168302622,13.2269306182029,5.67160791424007,1.3693776907912
"Michigan AmerifluxTower","1966",-4.00246330593946,-3.34101208049086,0.321265708170905,8.27132004918338,21.1325893852379,23.0028114316918,23.9535215478238,23.312187214061,18.7855168302622,13.2269306182029,5.67160791424007,1.3693776907912,-4.32829776320785,-1.54932980888104,4.59100832986661,9.37085362283876,14.9916421712797,25.2208663472333,28.7550564568564,24.0785434396102,20.1356020614664,13.1671010227943,4.9300085406368,-1.35345031734726
"Michigan AmerifluxTower","1967",-4.32829776320785,-1.54932980888104,4.59100832986661,9.37085362283876,14.9916421712797,25.2208663472333,28.7550564568564,24.0785434396102,20.1356020614664,13.1671010227943,4.9300085406368,-1.35345031734726,-1.41043456627023,-4.82761665107971,2.47206238747863,10.627222388561,15.2481061989676,24.8404717934293,24.5909105692195,23.8581417662991,21.4079692627636,13.3206966781581,2.90087608362851,0.0730138438478256
"Michigan AmerifluxTower","1968",-1.41043456627023,-4.82761665107971,2.47206238747863,10.627222388561,15.2481061989676,24.8404717934293,24.5909105692195,23.8581417662991,21.4079692627636,13.3206966781581,2.90087608362851,0.0730138438478256,-4.0723061705479,-4.21122539764246,5.82845356731485,14.0178038969161,17.1018262979211,22.5635133470702,25.7607292715161,25.0671007781197,22.2441031644542,15.4569793094945,4.97586239948482,-1.36848535379695
"Michigan AmerifluxTower","1969",-4.0723061705479,-4.21122539764246,5.82845356731485,14.0178038969161,17.1018262979211,22.5635133470702,25.7607292715161,25.0671007781197,22.2441031644542,15.4569793094945,4.97586239948482,-1.36848535379695,-2.9673003849003,-1.08045797574843,1.93755671975999,11.0632983381515,17.9753510201283,20.5042810905738,26.3090731120164,27.6063119402958,20.8465337300968,12.178579168809,5.37536042427893,-0.787718018503976
"Michigan AmerifluxTower","1970",-2.9673003849003,-1.08045797574843,1.93755671975999,11.0632983381515,17.9753510201283,20.5042810905738,26.3090731120164,27.6063119402958,20.8465337300968,12.178579168809,5.37536042427893,-0.787718018503976,-5.26525568783796,-2.63773827981608,1.26695449441652,11.5459810290402,17.3320782451943,24.7270932909912,27.4770203741445,26.6455292163076,20.6620586590174,15.7834276342084,6.22799922489778,-0.999252702285775
"Michigan AmerifluxTower","1971",-5.26525568783796,-2.63773827981608,1.26695449441652,11.5459810290402,17.3320782451943,24.7270932909912,27.4770203741445,26.6455292163076,20.6620586590174,15.7834276342084,6.22799922489778,-0.999252702285775,-4.43794748600397,-2.76326199478559,1.72673264284204,9.86804114692388,17.7206363289077,26.0037773975796,24.5643168783185,23.5293026008904,21.5965337300968,18.0011902059591,5.98784211762763,1.06218170284147
"Michigan AmerifluxTower","1972",-4.43794748600397,-2.76326199478559,1.72673264284204,9.86804114692388,17.7206363289077,26.0037773975796,24.5643168783185,23.5293026008904,21.5965337300968,18.0011902059591,5.98784211762763,1.06218170284147,-2.49315425772208,-3.8860739846007,-0.26441509574779,7.24173440626174,20.6610737537718,21.3193592216965,25.4964257437366,23.2381913623464,19.878578998473,11.2134355482778,4.22309389477349,-2.16637596685648
"Michigan AmerifluxTower","1973",-2.49315425772208,-3.8860739846007,-0.26441509574779,7.24173440626174,20.6610737537718,21.3193592216965,25.4964257437366,23.2381913623464,19.878578998473,11.2134355482778,4.22309389477349,-2.16637596685648,-0.416079850189048,-2.81740815220238,7.91611442749757,10.7115127053148,15.6542482590545,23.8635062182464,26.0923367289525,26.2236576590474,20.6691812108623,16.6398484020051,5.44353106280818,-1.34991977163756
"Michigan AmerifluxTower","1974",-0.416079850189048,-2.81740815220238,7.91611442749757,10.7115127053148,15.6542482590545,23.8635062182464,26.0923367289525,26.2236576590474,20.6691812108623,16.6398484020051,5.44353106280818,-1.34991977163756,-3.3023140679914,-3.90547972836935,2.07187595904076,11.2950561497733,15.9249994048512,22.9369282429985,25.8636219391759,25.5185785045177,17.7562769871785,12.4764258921141,7.13578944682786,1.14870262940606
"Michigan AmerifluxTower","1975",-3.3023140679914,-3.90547972836935,2.07187595904076,11.2950561497733,15.9249994048512,22.9369282429985,25.8636219391759,25.5185785045177,17.7562769871785,12.4764258921141,7.13578944682786,1.14870262940606,-0.961768653677437,-1.62978293873144,1.43407773028251,7.57498350131452,21.9883131115027,23.9148830871079,26.9590727305467,25.1569718777981,17.6478120895968,15.4427249889684,9.27741017506897,-0.360465209788281
"Michigan AmerifluxTower","1976",-0.961768653677437,-1.62978293873144,1.43407773028251,7.57498350131452,21.9883131115027,23.9148830871079,26.9590727305467,25.1569718777981,17.6478120895968,15.4427249889684,9.27741017506897,-0.360465209788281,-4.66305381732404,0.947554142436095,3.41116539504157,12.5959376570112,16.5683130352088,25.5061524551438,26.6933186541195,26.3367501234933,19.6752876781497,11.3353717534101,2.71496535936405,-4.52212948001119
"Michigan AmerifluxTower","1977",-4.66305381732404,0.947554142436095,3.41116539504157,12.5959376570112,16.5683130352088,25.5061524551438,26.6933186541195,26.3367501234933,19.6752876781497,11.3353717534101,2.71496535936405,-4.52212948001119,-8.18458871941397,-3.17326194873022,5.56189742833154,13.3148751753416,23.6518408915298,23.1312311072975,27.1224601034466,23.397293967913,18.3178681447596,13.432503268948,6.33988669128806,-1.69151930096875
"Michigan AmerifluxTower","1978",-8.18458871941397,-3.17326194873022,5.56189742833154,13.3148751753416,23.6518408915298,23.1312311072975,27.1224601034466,23.397293967913,18.3178681447596,13.432503268948,6.33988669128806,-1.69151930096875,-4.81253607788712,-4.3898478261448,2.15269210181604,7.97461235788609,20.2638372820899,23.0113609547321,25.8463258248924,24.9099289947599,19.5679329455673,12.8542160705114,6.47796379857169,-1.49068711550196
"Michigan AmerifluxTower","1979",-4.81253607788712,-4.3898478261448,2.15269210181604,7.97461235788609,20.2638372820899,23.0113609547321,25.8463258248924,24.9099289947599,19.5679329455673,12.8542160705114,6.47796379857169,-1.49068711550196,-6.69033421624724,-6.66393710582855,3.54039804005556,9.09565027459545,16.0137441283352,23.1784272478903,26.2554367036919,22.8900217763597,21.7642244018944,11.8107371143606,6.1965650589607,1.38875943875356
"Michigan AmerifluxTower","1980",-6.69033421624724,-6.66393710582855,3.54039804005556,9.09565027459545,16.0137441283352,23.1784272478903,26.2554367036919,22.8900217763597,21.7642244018944,11.8107371143606,6.1965650589607,1.38875943875356,-2.45519894524767,-3.78841330397576,1.1990639529115,10.350515037132,20.8189162394193,21.2506368583593,25.8448833922837,26.3527901215164,19.4748349638105,10.1404586089681,5.06458500752069,-2.5749414351507
"Michigan AmerifluxTower","1981",-2.45519894524767,-3.78841330397576,1.1990639529115,10.350515037132,20.8189162394193,21.2506368583593,25.8448833922837,26.3527901215164,19.4748349638105,10.1404586089681,5.06458500752069,-2.5749414351507,-3.84176866537902,0.108782659566477,4.52452286029163,12.5406368406112,18.3871004729439,23.1621279399022,26.7291379891181,25.7176385264626,18.9298556834167,10.5484706962133,8.02358775587173,-0.447653211366208
"Michigan AmerifluxTower","1982",-3.84176866537902,0.108782659566477,4.52452286029163,12.5406368406112,18.3871004729439,23.1621279399022,26.7291379891181,25.7176385264626,18.9298556834167,10.5484706962133,8.02358775587173,-0.447653211366208,-6.05254418830872,-3.85895082474676,1.27104380044851,8.17565833473934,21.5147182510598,21.2026739297966,27.4347609742426,22.8233917003892,19.0398561773721,15.4431619583718,6.39656490752431,3.13224650383997
